title,vector_14d
Quotations from Charwoman Me,"[0.4, 1.0, 0.1, 10.65, 7.5, 1.0, 0.5, 0.2, 0.27842227378190254, 0.8212652556339076, 106.5, 0.4, 0.7272727272727273, 0.1]"
The Decision,"[0.2, 1.0, 0.15, 3.6, 1.557776192739723, 1.0, 0.3333333333333333, 0.1506849315068493, 0.33136094674556216, 0.7532091821666813, 36.0, 0.4, 0.7857142857142857, 0.1]"
The Pipe,"[0.2, 1.0, 0.35, 5.271428571428571, 8.19596715165577, 0.8571428571428571, 0.2857142857142857, 0.1455223880597015, 0.3241935483870968, 0.7750644689618061, 52.714285714285715, 0.4, 0.6666666666666666, 0.3]"
Declaration,"[0.1, 1.0, 0.05, 7.0, 0.0, 1.0, 1.0, 0.13725490196078433, 0.3053435114503817, 0.7724371398907723, 70.0, 0.4, 1.0, 0.5]"
The Last ManÂs Club,"[0.4, 1.0, 0.25, 5.4799999999999995, 2.5088642848906755, 1.0, 0.2, 0.17834394904458598, 0.3634361233480176, 0.7618429131376233, 54.8, 0.4, 0.9090909090909091, 0.1]"
The Day,"[0.2, 1.0, 0.65, 0.5230769230769231, 0.2845114155216451, 0.8, 0.3, 0.19047619047619047, 0.36036036036036034, 0.7388277946798354, 5.230769230769231, 0.4, 0.6923076923076923, 0.4]"
To the Reader,"[0.3, 1.0, 0.05, 1.8, 0.0, 1.0, 1.0, 0.125, 0.34615384615384615, 0.7599453292258315, 18.0, 0.4, 0.6666666666666666, 0.5]"
"Sonnet 123: No, Time, thou shalt not boast that I do change","[1.2, 1.0, 0.15, 3.5, 7.353910524340094, 1.0, 0.3333333333333333, 0.16666666666666666, 0.3409090909090909, 0.7783766125365806, 35.0, 0.4, 0.6111111111111112, 0.1]"
The Pike,"[0.2, 1.0, 0.25, 1.78, 1.335065541462291, 0.6, 0.4, 0.19718309859154928, 0.4025974025974026, 0.7284975577452136, 17.8, 0.4, 0.7777777777777778, 0.3]"
Two Hangings from Ovid,"[0.4, 1.0, 0.15, 6.8, 14.765726079900938, 1.0, 0.3333333333333333, 0.15976331360946747, 0.36496350364963503, 0.7525470501017523, 68.0, 0.4, 0.9, 0.3]"
A Letter in October,"[0.4, 1.0, 0.2, 3.175, 4.299709292498738, 1.0, 0.25, 0.20192307692307693, 0.3418803418803419, 0.767703924793543, 31.75, 0.4, 0.7777777777777778, 0.1]"
Voyage,"[0.1, 1.0, 0.05, 1.9, 0.0, 1.0, 1.0, 0.1, 0.2777777777777778, 0.7691270847231495, 19.0, 0.4, 0.6153846153846154, 0.1]"
Drycleaners,"[0.1, 1.0, 0.35, 3.1, 4.736484531198821, 1.0, 0.14285714285714285, 0.19161676646706588, 0.34306569343065696, 0.7728034214623255, 31.0, 0.4, 1.0, 0.2]"
The Craftsman,"[0.2, 1.0, 0.2, 2.425, 1.107925990308017, 1.0, 0.25, 0.15789473684210525, 0.2569832402234637, 0.8221009081176454, 24.25, 0.6, 0.7058823529411765, 0.3]"
Flour Is Firm,"[0.3, 1.0, 0.3, 2.066666666666667, 3.9944405810520642, 1.0, 0.16666666666666666, 0.1941747572815534, 0.2971698113207547, 0.7795124684529049, 20.666666666666668, 0.4, 0.6923076923076923, 0.5]"
Wet Casements,"[0.2, 1.0, 0.15, 7.566666666666667, 8.818667069851822, 1.0, 0.3333333333333333, 0.18452380952380953, 0.29540481400437635, 0.7788259018649414, 75.66666666666667, 0.4, 0.9090909090909091, 0.6]"
The Listeners,"[0.2, 1.0, 0.95, 1.3157894736842104, 0.4910275279869727, 0.7894736842105263, 0.10526315789473684, 0.14673913043478262, 0.38072289156626504, 0.750172178217278, 13.157894736842104, 0.8, 0.5714285714285714, 0.1]"
Prophecy,"[0.1, 1.0, 1.4, 0.5142857142857143, 0.20503857277724752, 0.9285714285714286, 0.07142857142857142, 0.1588785046728972, 0.2925764192139738, 0.7775208370248757, 5.142857142857143, 0.4, 0.5625, 0.5]"
"Rondeau RedoublÃ© (and Scarcely Worth the Trouble, at That)","[0.9, 1.0, 0.7, 1.35, 0.7, 0.3076923076923077, 0.5384615384615384, 0.20714285714285716, 0.26666666666666666, 0.8183677721732132, 13.5, 0.4, 0.7692307692307693, 0.2]"
The Potato Eaters,"[0.3, 1.0, 0.2, 1.35, 1.004987562112089, 1.0, 0.25, 0.2, 0.36666666666666664, 0.7290718299781069, 13.5, 0.6, 0.6666666666666666, 0.2]"
Weighing In,"[0.2, 1.0, 0.15, 4.833333333333334, 6.607739569794061, 0.6666666666666666, 0.6666666666666666, 0.20430107526881722, 0.2540192926045016, 0.8335028212213483, 48.333333333333336, 0.6, 0.6875, 0.1]"
The Murder of Beauty / The Beauty of Murder,"[0.9, 0.5555555555555556, 0.1, 18.5, 30.6, 1.0, 0.5, 0.14344262295081966, 0.2770083102493075, 0.826142201145906, 185.0, 0.4, 0.875, 0.6]"
Misgivings,"[0.1, 1.0, 0.25, 1.9600000000000002, 2.572469630530164, 0.6, 0.4, 0.1744186046511628, 0.3473053892215569, 0.7662865072120423, 19.6, 0.4, 0.6428571428571429, 0.3]"
The Talking Day,"[0.3, 1.0, 0.5, 2.9, 1.9979989989987483, 0.9, 0.2, 0.1657754010695187, 0.2656826568265683, 0.8020549951668082, 29.0, 0.4, 0.75, 0.1]"
Car Showroom,"[0.2, 1.0, 0.1, 7.05, 12.1, 1.0, 0.5, 0.1527777777777778, 0.2857142857142857, 0.7925248832650335, 70.5, 0.4, 0.6428571428571429, 0.5]"
The Pilgrim,"[0.2, 1.0, 1.25, 1.3439999999999999, 2.3474786474002274, 0.68, 0.2, 0.12444444444444444, 0.33826247689463956, 0.7760934222824214, 13.44, 0.4, 0.75, 0.5]"
Ars Poetica?,"[0.2, 1.0, 1.7, 1.0323529411764707, 0.4594641078865531, 0.7575757575757576, 0.06060606060606061, 0.15979381443298968, 0.29508196721311475, 0.8018741028039836, 10.323529411764707, 0.4, 0.7692307692307693, 0.5]"
Helen Betty Osborne,"[0.3, 1.0, 0.35, 2.4714285714285715, 3.553210678027547, 0.8571428571428571, 0.2857142857142857, 0.23255813953488372, 0.2361111111111111, 0.8107387855225809, 24.714285714285715, 0.4, 0.8461538461538461, 0.1]"
When All Hands Were Called to Make Sail,"[0.8, 1.0, 0.1, 8.45, 7.5, 1.0, 0.5, 0.18055555555555555, 0.31974921630094044, 0.785247450421931, 84.5, 0.4, 0.75, 0.1]"
Sea Rose,"[0.2, 1.0, 0.15, 2.1333333333333333, 1.635712552851373, 1.0, 0.3333333333333333, 0.22916666666666666, 0.3235294117647059, 0.7673020906711461, 21.333333333333332, 0.4, 0.75, 0.5]"
ÂEmbrace Them AllÂ,"[0.3, 1.0, 1.4, 0.8285714285714286, 0.35799897388976193, 0.8571428571428571, 0.10714285714285714, 0.1875, 0.3370165745856354, 0.7812432396143761, 8.285714285714286, 0.4, 0.8, 0.1]"
SonnetÂ?To Science,"[0.2, 1.0, 0.35, 1.5857142857142859, 0.9160696881075084, 0.7142857142857143, 0.2857142857142857, 0.18421052631578946, 0.38421052631578945, 0.754688855989409, 15.857142857142858, 0.6, 0.6923076923076923, 0.3]"
Poem Written with Bash? [ÂThe sound of the water jarÂ],"[1.0, 1.0, 0.1, 2.75, 0.3, 1.0, 0.5, 0.15384615384615385, 0.3739130434782609, 0.7616568901947317, 27.5, 0.4, 0.6153846153846154, 0.5]"
To Those Who Have Lost Everything,"[0.6, 1.0, 0.05, 3.0, 0.0, 1.0, 1.0, 0.23809523809523808, 0.2540983606557377, 0.8197918954705795, 30.0, 0.6, 0.6842105263157895, 0.2]"
The ChildÂs Address to the Kentucky Mummy,"[0.7, 0.8571428571428571, 0.55, 2.0545454545454547, 1.4755304411107988, 0.7272727272727273, 0.18181818181818182, 0.1484375, 0.2782152230971129, 0.8257609760371981, 20.545454545454547, 0.6, 0.7692307692307693, 0.3]"
Pinhole,"[0.1, 1.0, 0.15, 1.0666666666666667, 1.892675942210452, 1.0, 0.3333333333333333, 0.14285714285714285, 0.2542372881355932, 0.7853680671045113, 10.666666666666666, 0.4, 0.7142857142857143, 0.5]"
The Visitor,"[0.2, 1.0, 0.25, 1.46, 1.2874781551544865, 0.8, 0.4, 0.16326530612244897, 0.30158730158730157, 0.7967650449065733, 14.6, 0.4, 1.0, 0.6]"
Jumping Off the Mystic Tobin Bridge,"[0.6, 1.0, 0.65, 2.5615384615384618, 5.132423905712485, 1.0, 0.07692307692307693, 0.14912280701754385, 0.27364864864864863, 0.7975430057574604, 25.615384615384617, 0.4, 0.8461538461538461, 0.2]"
The Negative,"[0.2, 1.0, 0.4, 4.325, 7.188706420490407, 0.875, 0.25, 0.1625, 0.3183856502242152, 0.7884320040904239, 43.25, 0.4, 1.0, 0.1]"
Long ago I heard footsteps,"[0.5, 1.0, 0.15, 1.8666666666666667, 2.604269997949948, 1.0, 0.3333333333333333, 0.16666666666666666, 0.2871287128712871, 0.7776430703942941, 18.666666666666668, 0.6, 0.47368421052631576, 0.2]"
To the Moon,"[0.3, 1.0, 0.3, 0.9, 0.447213595499958, 0.75, 0.5, 0.17073170731707318, 0.30851063829787234, 0.7383490239283743, 9.0, 0.6, 0.5, 0.5]"
Dog Head,"[0.2, 1.0, 1.35, 1.162962962962963, 1.1419906572208451, 0.7777777777777778, 0.14814814814814814, 0.1791044776119403, 0.31785714285714284, 0.7853581456438651, 11.62962962962963, 0.4, 0.75, 0.6]"
Catfish,"[0.1, 1.0, 0.25, 0.9, 0.5513619500836089, 0.8, 0.4, 0.21621621621621623, 0.27710843373493976, 0.7472202596955638, 9.0, 0.4, 0.8571428571428571, 0.6]"
Dockery and Son,"[0.3, 1.0, 1.15, 1.4608695652173913, 2.0282690246352666, 0.6521739130434783, 0.13043478260869565, 0.14347826086956522, 0.3114478114478115, 0.7852847389865577, 14.608695652173912, 0.4, 0.6666666666666666, 0.1]"
Nox Borealis,"[0.2, 1.0, 0.1, 4.45, 3.7, 1.0, 0.5, 0.2191780821917808, 0.2808988764044944, 0.7734719739040946, 44.5, 0.4, 0.7333333333333333, 0.5]"
Switchblade,"[0.1, 1.0, 1.15, 2.108695652173913, 2.426601161028939, 0.782608695652174, 0.13043478260869565, 0.14906832298136646, 0.326036866359447, 0.7694311864600291, 21.08695652173913, 0.4, 0.9090909090909091, 0.5]"
Song:  A youth for Jane with ardour sighed...,"[0.8, 1.0, 0.05, 12.3, 0.0, 1.0, 1.0, 0.23333333333333334, 0.2756756756756757, 0.8309260393955286, 123.0, 0.4, 0.7, 0.2]"
Humanities Lecture,"[0.2, 1.0, 0.2, 3.575, 4.138538389335055, 1.0, 0.25, 0.16842105263157894, 0.28, 0.793282253902302, 35.75, 0.6, 0.7647058823529411, 0.1]"
The Healing Improvisation of Hair,"[0.5, 1.0, 0.15, 5.9, 7.8196334099922264, 1.0, 0.3333333333333333, 0.152, 0.27300613496932513, 0.8174685134266655, 59.0, 0.4, 1.0, 0.3]"
Honey/Manila Portfolio,"[0.2, 1.0, 0.2, 2.575, 4.288064831599447, 1.0, 0.25, 0.2112676056338028, 0.25870646766169153, 0.8215168974009419, 25.75, 0.4, 0.6923076923076923, 0.1]"
Sonnet 125:Â WereÂt aught to me I bore the canopy,"[1.0, 1.0, 0.15, 3.1, 6.647305218407432, 1.0, 0.3333333333333333, 0.18461538461538463, 0.2777777777777778, 0.8027589153072885, 31.0, 0.4, 0.6111111111111112, 0.3]"
The Clouded Morning,"[0.3, 1.0, 0.35, 1.4714285714285713, 0.846601850858803, 0.7142857142857143, 0.2857142857142857, 0.14583333333333334, 0.30434782608695654, 0.7837993562052628, 14.714285714285714, 0.4, 0.8888888888888888, 0.3]"
Book Review: The Mountain Lion by Jean Stafford,"[0.8, 1.0, 1.1, 2.036363636363636, 3.908752628069218, 0.8636363636363636, 0.09090909090909091, 0.1532033426183844, 0.33125, 0.778449330981116, 20.363636363636363, 0.6, 0.6111111111111112, 0.3]"
Lioness Asleep,"[0.2, 1.0, 0.1, 4.95, 5.7, 1.0, 0.5, 0.2159090909090909, 0.41081081081081083, 0.7276123439926335, 49.5, 0.4, 0.6428571428571429, 0.3]"
Larry Levan (snake),"[0.3, 1.0, 0.45, 1.6444444444444444, 3.3040192508332247, 1.0, 0.1111111111111111, 0.21008403361344538, 0.2857142857142857, 0.7992703547941962, 16.444444444444443, 0.4, 0.75, 0.6]"
Terrebonne Bay,"[0.2, 1.0, 1.15, 2.4304347826086956, 3.2143346232063785, 0.8695652173913043, 0.08695652173913043, 0.12080536912751678, 0.340160284951024, 0.7796939124044867, 24.304347826086957, 0.4, 0.6363636363636364, 0.3]"
The Jungle CafÃ©,"[0.3, 1.0, 0.2, 4.35, 5.2201532544552744, 1.0, 0.25, 0.1956521739130435, 0.29289940828402367, 0.8035884572882251, 43.5, 0.4, 0.875, 0.5]"
The Happy,"[0.2, 1.0, 0.55, 2.1, 2.2352547139786187, 0.8181818181818182, 0.18181818181818182, 0.1656441717791411, 0.31956521739130433, 0.7822898252242698, 21.0, 0.4, 0.6666666666666666, 0.3]"
Traffic Misdirector,"[0.2, 1.0, 0.05, 11.9, 0.0, 1.0, 1.0, 0.23809523809523808, 0.2785234899328859, 0.7742240337252341, 119.0, 0.4, 0.6363636363636364, 0.3]"
An Essay on Man: Epistle II,"[0.6, 1.0, 1.5, 6.63, 5.851301849446269, 0.7931034482758621, 0.13793103448275862, 0.06352324819908317, 0.32049920339883164, 0.7794804985422453, 66.3, 0.4, 0.6923076923076923, 0.1]"
Elegies,"[0.1, 1.0, 0.25, 6.959999999999999, 5.951268772287133, 1.0, 0.2, 0.1552511415525114, 0.3303834808259587, 0.8015438828355682, 69.6, 0.4, 0.8461538461538461, 0.5]"
Sylvia,"[0.1, 1.0, 0.05, 7.0, 0.0, 1.0, 1.0, 0.2558139534883721, 0.2446043165467626, 0.8043230209485849, 70.0, 0.4, 0.8181818181818182, 0.5]"
Instructions to an Artisan,"[0.4, 1.0, 0.9, 0.9166666666666666, 0.45338235029118146, 0.7222222222222222, 0.2222222222222222, 0.20634920634920634, 0.33211678832116787, 0.775324659632772, 9.166666666666666, 0.4, 0.6666666666666666, 0.1]"
Dust to Dust,"[0.3, 0.6666666666666666, 0.3, 8.316666666666666, 9.734075314184816, 1.0, 0.16666666666666666, 0.13170731707317074, 0.2989921612541993, 0.7912851779301482, 83.16666666666667, 0.4, 0.8, 0.4]"
Notes: Coercive Counterintelligence Interrogation of Resistant Sources,"[0.7, 1.0, 0.6, 0.8083333333333333, 1.2205417740586442, 0.8333333333333334, 0.16666666666666666, 0.2, 0.3107344632768362, 0.7974159254457346, 8.083333333333334, 0.4, 0.6428571428571429, 0.6]"
Prayer of Radiolucence,"[0.3, 1.0, 0.2, 5.325, 8.80156236130836, 1.0, 0.25, 0.22580645161290322, 0.2647058823529412, 0.7943065405861641, 53.25, 0.6, 0.6666666666666666, 0.5]"
Moss,"[0.1, 1.0, 0.1, 2.6, 0.2, 1.0, 0.5, 0.18181818181818182, 0.32432432432432434, 0.7520506979948002, 26.0, 0.4, 0.6923076923076923, 0.4]"
A Horse Named Never,"[0.4, 1.0, 0.05, 21.1, 0.0, 1.0, 1.0, 0.125, 0.32124352331606215, 0.7611683704621148, 211.0, 0.4, 0.7692307692307693, 0.1]"
To the One of Fictive Music,"[0.6, 1.0, 0.1, 12.2, 16.6, 1.0, 0.5, 0.16049382716049382, 0.32150313152400833, 0.7857036545373496, 122.0, 0.4, 0.6428571428571429, 0.5]"
where you are planted,"[0.4, 1.0, 0.5, 1.51, 1.616044553841261, 0.5, 0.6, 0.1984732824427481, 0.3546099290780142, 0.7832637085121331, 15.1, 0.4, 0.8333333333333334, 0.5]"
Halston,"[0.1, 1.0, 0.7, 1.3071428571428572, 1.1697723483391012, 0.7142857142857143, 0.14285714285714285, 0.17857142857142858, 0.3765432098765432, 0.7516699306125703, 13.071428571428571, 0.4, 0.5454545454545454, 0.1]"
The Great Society,"[0.3, 1.0, 0.45, 1.3222222222222222, 1.1576903357894317, 1.0, 0.1111111111111111, 0.18181818181818182, 0.35454545454545455, 0.7578199039521408, 13.222222222222221, 0.4, 0.7777777777777778, 0.3]"
The Double-Bed Dream Gallows,"[0.4, 1.0, 0.4, 0.5625, 0.5910795208768445, 1.0, 0.125, 0.13793103448275862, 0.23404255319148937, 0.8297777284738287, 5.625, 0.4, 0.6875, 0.5]"
The Tree,"[0.2, 1.0, 0.1, 8.8, 0.2, 1.0, 0.5, 0.1736842105263158, 0.35185185185185186, 0.7933052462783202, 88.0, 1.0, 0.4482758620689655, 0.5]"
Swimming With A Hundred Year Old Snapping Turtle,"[0.8, 1.0, 0.25, 1.9600000000000002, 0.844748483277715, 1.0, 0.2, 0.21568627450980393, 0.325, 0.755256791114116, 19.6, 0.4, 0.6666666666666666, 0.1]"
The Poem that Took the Place of a Mountain,"[0.9, 0.8888888888888888, 0.05, 9.8, 0.0, 1.0, 1.0, 0.15789473684210525, 0.3582887700534759, 0.7539179364463452, 98.0, 0.4, 0.6428571428571429, 0.6]"
Behemoth,"[0.1, 1.0, 0.1, 8.45, 7.1, 1.0, 0.5, 0.16521739130434782, 0.2532894736842105, 0.8127941956006467, 84.5, 0.6, 0.6111111111111112, 0.1]"
Do Not Make Things Too Easy,"[0.6, 1.0, 0.35, 0.9285714285714286, 0.7068181072487418, 0.8571428571428571, 0.2857142857142857, 0.21621621621621623, 0.2755102040816326, 0.7749695165893101, 9.285714285714286, 0.4, 0.7272727272727273, 0.2]"
How We Were Introduced,"[0.4, 1.0, 0.05, 18.9, 0.0, 1.0, 1.0, 0.18232044198895028, 0.33569739952718675, 0.7956607207655199, 189.0, 0.4, 0.6666666666666666, 0.5]"
On the Extinction of the Venetian Republic,"[0.7, 0.8571428571428571, 0.05, 10.0, 0.0, 1.0, 1.0, 0.18181818181818182, 0.41621621621621624, 0.7302880516810107, 100.0, 0.4, 0.6470588235294118, 0.5]"
III Mon. May [1734] hath xxxi days.,"[0.7, 1.0, 0.2, 1.575, 0.2958039891549808, 0.75, 0.5, 0.2222222222222222, 0.37719298245614036, 0.7678860836991742, 15.75, 0.4, 0.6875, 0.3]"
Letter to My Father,"[0.4, 1.0, 1.45, 2.5, 3.834147839503898, 0.7586206896551724, 0.10344827586206896, 0.12, 0.29832239241429614, 0.7976747379085442, 25.0, 0.4, 0.8461538461538461, 0.6]"
Study Nature,"[0.2, 1.0, 2.45, 0.13877551020408163, 0.15553109292455225, 0.6170212765957447, 0.0851063829787234, 0.3235294117647059, 0.23275862068965517, 0.8305306796120265, 1.3877551020408163, 0.4, 0.6923076923076923, 0.5]"
Beg Approval,"[0.2, 1.0, 0.65, 0.7538461538461538, 1.2092346838848358, 0.8461538461538461, 0.15384615384615385, 0.21568627450980393, 0.3584905660377358, 0.7707586548129247, 7.538461538461538, 0.4, 0.7777777777777778, 0.4]"
from ÂOrigins of PoetryÂ,"[0.4, 1.0, 0.15, 2.5, 2.3151673805580453, 1.0, 0.5, 0.15555555555555556, 0.3333333333333333, 0.7838145240993303, 25.0, 0.4, 0.9, 0.5]"
Nothing Gold Can Stay,"[0.4, 1.0, 0.05, 3.3, 0.0, 1.0, 1.0, 0.25, 0.29508196721311475, 0.7835591815730272, 33.0, 0.4, 0.6363636363636364, 0.3]"
"Brother, IÂve seen some","[0.4, 1.0, 0.6, 0.625, 0.653834841531101, 0.9166666666666666, 0.16666666666666666, 0.16071428571428573, 0.25165562913907286, 0.8071341712325539, 6.25, 0.2, 1.0, 0.6]"
from The Unfollowing: 20,"[0.4, 1.0, 0.25, 3.34, 3.181446212023708, 1.0, 0.25, 0.19008264462809918, 0.33093525179856115, 0.759161728748221, 33.4, 0.4, 0.7272727272727273, 0.3]"
"""Once there came a man""","[0.5, 1.0, 0.3, 1.3666666666666667, 1.9171738459397876, 0.8333333333333334, 0.3333333333333333, 0.22, 0.31297709923664124, 0.7720374165064169, 13.666666666666666, 0.4, 0.75, 0.2]"
A Woman on the Dump,"[0.5, 1.0, 0.2, 4.5, 5.655086206239477, 1.0, 0.25, 0.18243243243243243, 0.3284671532846715, 0.7674426844542418, 45.0, 0.4, 0.5833333333333334, 0.1]"
Blind Date,"[0.2, 1.0, 0.55, 1.3545454545454545, 2.2455833603095594, 0.8181818181818182, 0.18181818181818182, 0.17647058823529413, 0.2674897119341564, 0.7938312950896166, 13.545454545454545, 0.4, 0.9, 0.3]"
The Hosts,"[0.2, 1.0, 0.05, 34.6, 0.0, 1.0, 1.0, 0.1453900709219858, 0.3308270676691729, 0.7763078359048033, 346.0, 0.4, 0.7, 0.5]"
from Mercian Hymns,"[0.3, 1.0, 0.1, 36.4, 70.2, 1.0, 0.5, 0.125, 0.32625619249823073, 0.7692270306130431, 364.0, 0.4, 0.75, 0.4]"
"America Politica Historia, in Spontaneity","[0.5, 1.0, 1.6, 2.375, 3.6592348927063973, 0.84375, 0.09375, 0.1203155818540434, 0.297554347826087, 0.7817515386473891, 23.75, 0.4, 0.5833333333333334, 0.3]"
To You,"[0.2, 1.0, 0.15, 6.366666666666666, 7.069810621383165, 1.0, 0.3333333333333333, 0.16535433070866143, 0.2956521739130435, 0.7978862296474788, 63.666666666666664, 0.4, 0.6363636363636364, 0.1]"
The Pond,"[0.2, 1.0, 0.1, 4.55, 0.1, 1.0, 0.5, 0.23404255319148937, 0.3583815028901734, 0.7657465397440087, 45.5, 0.4, 0.5, 0.1]"
A Small Anatomy of Feeling,"[0.5, 1.0, 0.15, 5.2, 11.179743586803173, 1.0, 0.3333333333333333, 0.16666666666666666, 0.3607142857142857, 0.7672875023418362, 52.0, 0.4, 0.6428571428571429, 0.5]"
Tam O 'Shanter,"[0.3, 1.0, 1.0, 7.425, 7.971668583176298, 0.8, 0.2, 0.07684918347742556, 0.3175591531755915, 0.7779790933789457, 74.25, 0.4, 0.7272727272727273, 0.2]"
"The Cranes, Texas January","[0.4, 1.0, 0.1, 5.1, 6.6, 1.0, 0.5, 0.17142857142857143, 0.3409090909090909, 0.7909839817303531, 51.0, 0.4, 0.7272727272727273, 0.2]"
Spleen (Blood Lily),"[0.3, 1.0, 0.1, 1.25, 0.7, 1.0, 0.5, 0.2, 0.23655913978494625, 0.8402440768501772, 12.5, 0.4, 0.75, 0.2]"
Salter's Gate,"[0.2, 1.0, 1.25, 0.984, 0.4822613399392492, 0.7727272727272727, 0.13636363636363635, 0.1834319526627219, 0.2721518987341772, 0.8282484101608273, 9.84, 0.4, 0.5384615384615384, 0.1]"
Children's Hospital,"[0.2, 1.0, 0.1, 6.6, 0.0, 1.0, 0.5, 0.2158273381294964, 0.3018867924528302, 0.7755463764752899, 66.0, 0.4, 1.0, 0.1]"
Long Marriage,"[0.2, 1.0, 0.05, 2.7, 0.0, 1.0, 1.0, 0.09090909090909091, 0.2553191489361702, 0.8316547675269521, 27.0, 0.4, 0.7692307692307693, 0.1]"
Her Scar,"[0.2, 1.0, 0.05, 9.6, 0.0, 1.0, 1.0, 0.24705882352941178, 0.30409356725146197, 0.7974117720992179, 96.0, 0.4, 0.7857142857142857, 0.1]"
Femme du monde,"[0.3, 1.0, 0.15, 7.7333333333333325, 9.63650466830283, 1.0, 0.3333333333333333, 0.17543859649122806, 0.2857142857142857, 0.7911724240263004, 77.33333333333333, 0.6, 0.5789473684210527, 0.2]"
Busker with Harp,"[0.3, 1.0, 0.05, 5.4, 0.0, 1.0, 1.0, 0.125, 0.3229166666666667, 0.7587070644058675, 54.0, 0.4, 0.75, 0.6]"
Infighting,"[0.1, 1.0, 0.15, 5.233333333333333, 10.101265047287669, 1.0, 0.3333333333333333, 0.1724137931034483, 0.23939393939393938, 0.839509316543828, 52.333333333333336, 0.4, 0.8333333333333334, 0.5]"
Abandoned Homestead in Watauga County,"[0.5, 1.0, 0.1, 2.05, 0.5, 1.0, 0.5, 0.12195121951219512, 0.30985915492957744, 0.7782928381506261, 20.5, 0.4, 0.8571428571428571, 0.1]"
I never hear the word ÂEscapeÂ (144),"[0.7, 1.0, 0.05, 3.1, 0.0, 1.0, 1.0, 0.1, 0.25, 0.8138478038675996, 31.0, 0.4, 0.7857142857142857, 0.1]"
I Shall not Care,"[0.4, 1.0, 0.25, 0.9800000000000001, 0.6374950980203691, 0.8, 0.4, 0.2727272727272727, 0.358695652173913, 0.7416824235613789, 9.8, 0.4, 0.5833333333333334, 0.5]"
Hypocrite Auteur,"[0.2, 1.0, 0.15, 12.866666666666665, 11.953614051360738, 1.0, 0.3333333333333333, 0.1337579617834395, 0.3753315649867374, 0.756172266490763, 128.66666666666666, 0.4, 0.6470588235294118, 0.5]"
ÂOh Fairest of the Rural MaidsÂ,"[0.6, 1.0, 0.25, 2.7399999999999998, 0.20396078054371142, 1.0, 0.2, 0.17525773195876287, 0.37735849056603776, 0.7651297993057476, 27.4, 0.6, 0.6842105263157895, 0.5]"
When Big Joan Sets Up,"[0.5, 1.0, 0.15, 1.1, 1.39522996909709, 1.0, 0.3333333333333333, 0.20689655172413793, 0.3333333333333333, 0.7391266026391103, 11.0, 0.4, 0.8, 0.5]"
In Memoriam A. H. H. OBIIT MDCCCXXXIII: 99,"[0.8, 0.875, 0.55, 1.1545454545454545, 1.1484808507166369, 0.8181818181818182, 0.18181818181818182, 0.11458333333333333, 0.2926829268292683, 0.8002432906764433, 11.545454545454545, 0.6, 0.631578947368421, 0.2]"
Cicadas at the End of Summer,"[0.6, 1.0, 0.4, 1.575, 1.7399712641305314, 1.0, 0.125, 0.19791666666666666, 0.2826086956521739, 0.7976049224837313, 15.75, 0.4, 0.8181818181818182, 0.2]"
I'm a Fool to Love You,"[0.6, 1.0, 0.05, 20.3, 0.0, 1.0, 1.0, 0.16417910447761194, 0.30413625304136255, 0.8133277347963762, 203.0, 0.4, 0.9230769230769231, 0.6]"
Madrigal in Time of War,"[0.5, 1.0, 0.05, 10.5, 0.0, 1.0, 1.0, 0.23333333333333334, 0.3142857142857143, 0.7961613077754905, 105.0, 0.6, 0.7647058823529411, 0.2]"
The Militance of a Photograph in the Passbook of a Bantu under Detention,"[1.3, 0.7692307692307693, 0.1, 20.1, 8.8, 1.0, 0.5, 0.15048543689320387, 0.29207920792079206, 0.7657558285892527, 201.0, 0.6, 0.7333333333333333, 0.1]"
Just Disaster,"[0.2, 1.0, 0.1, 2.55, 0.9, 1.0, 0.5, 0.16666666666666666, 0.23655913978494625, 0.8006411343408267, 25.5, 0.4, 0.8888888888888888, 0.5]"
Christ at Gallipoli,"[0.3, 1.0, 0.1, 8.75, 11.3, 1.0, 0.5, 0.1968503937007874, 0.34448160535117056, 0.7681742793224933, 87.5, 0.4, 0.6666666666666666, 0.6]"
Ghana Calls,"[0.2, 1.0, 2.6, 1.1903846153846154, 1.766465229854249, 0.5961538461538461, 0.15384615384615385, 0.1314655172413793, 0.3118856121537087, 0.7779932641601431, 11.903846153846153, 1.0, 0.75, 0.5]"
Sounding Chinese at Inspiration Point,"[0.5, 1.0, 0.05, 8.5, 0.0, 1.0, 1.0, 0.22807017543859648, 0.2737430167597765, 0.8057943669128019, 85.0, 0.4, 1.0, 0.1]"
An Immigrant Woman,"[0.3, 1.0, 5.1, 2.469607843137255, 4.039101940146002, 0.6060606060606061, 0.06060606060606061, 0.05772005772005772, 0.27635009310986963, 0.815368022333661, 24.69607843137255, 0.4, 0.7272727272727273, 0.5]"
Roadrunners,"[0.1, 1.0, 0.1, 11.2, 21.8, 1.0, 0.5, 0.19831223628691982, 0.2876984126984127, 0.7960622741672219, 112.0, 0.4, 0.7368421052631579, 0.1]"
The Print the Whales Make,"[0.5, 0.8, 0.1, 3.6, 1.2, 1.0, 0.5, 0.13333333333333333, 0.32116788321167883, 0.7542337965810937, 36.0, 0.4, 0.5714285714285714, 0.5]"
